,date_time,tempC,windspeedKmph,humidity,precipMM,pressure
0,01-08-2019 00:00,31,11,56,0.0,998
1,01-08-2019 01:00,31,11,58,0.0,998
2,01-08-2019 02:00,31,11,60,0.0,998
3,01-08-2019 03:00,30,11,62,0.0,998
4,01-08-2019 04:00,31,11,61,0.0,999
5,01-08-2019 05:00,32,11,60,0.2,999
6,01-08-2019 06:00,33,11,59,0.2,1000
7,01-08-2019 07:00,34,11,54,0.1,999
8,01-08-2019 08:00,35,12,49,0.5,999
9,01-08-2019 09:00,36,13,44,0.7,999
10,01-08-2019 10:00,36,12,44,0.4,998
11,01-08-2019 11:00,36,12,44,0.0,998
12,01-08-2019 12:00,36,12,43,0.0,998
13,01-08-2019 13:00,36,12,43,0.0,997
14,01-08-2019 14:00,36,12,43,0.0,996
15,01-08-2019 15:00,36,12,43,0.0,995
16,01-08-2019 16:00,36,11,45,0.0,996
17,01-08-2019 17:00,35,11,48,0.0,997
18,01-08-2019 18:00,34,10,51,0.0,998
19,01-08-2019 19:00,34,10,52,0.0,998
20,01-08-2019 20:00,34,10,54,0.1,998
21,01-08-2019 21:00,33,10,55,0.1,998
22,01-08-2019 22:00,33,10,55,0.1,998
23,01-08-2019 23:00,33,10,56,0.2,997
24,02-08-2019 00:00,33,10,56,0.3,997
25,02-08-2019 01:00,32,10,57,0.1,997
26,02-08-2019 02:00,32,9,57,0.2,997
27,02-08-2019 03:00,32,8,58,0.3,997
28,02-08-2019 04:00,32,8,56,0.2,997
29,02-08-2019 05:00,33,8,53,0.2,997
30,02-08-2019 06:00,33,8,51,0.3,998
31,02-08-2019 07:00,34,8,48,0.1,997
32,02-08-2019 08:00,35,8,45,0.2,997
33,02-08-2019 09:00,36,8,42,0.3,997
34,02-08-2019 10:00,37,8,41,0.1,997
35,02-08-2019 11:00,37,7,40,0.0,996
36,02-08-2019 12:00,38,7,39,0.0,996
37,02-08-2019 13:00,38,7,39,0.0,995
38,02-08-2019 14:00,37,7,40,0.0,994
39,02-08-2019 15:00,37,7,41,0.0,994
40,02-08-2019 16:00,36,7,44,0.0,995
41,02-08-2019 17:00,35,8,47,0.0,995
42,02-08-2019 18:00,35,9,51,0.0,996
43,02-08-2019 19:00,34,9,52,0.0,997
